state,year,criminal_law,criminal_law_detailed
Pennsylvania,2001,Yes,yes_all
Pennsylvania,2002,Yes,yes_all
Pennsylvania,2003,Yes,yes_all
Pennsylvania,2004,Yes,yes_all
Pennsylvania,2005,Yes,yes_all
Pennsylvania,2006,Yes,yes_all
Pennsylvania,2007,Yes,yes_all
Pennsylvania,2008,Yes,yes_all
Pennsylvania,2009,Yes,yes_all
Pennsylvania,2010,Yes,yes_all
Pennsylvania,2011,Yes,yes_all
Pennsylvania,2012,Yes,yes_all
Rhode Island,1994,No,No
Rhode Island,1995,No,No
Rhode Island,1996,No,No
Rhode Island,1997,No,No
Rhode Island,1998,No,No
Rhode Island,1999,No,No
Rhode Island,2000,No,No
Rhode Island,2001,No,No
Rhode Island,2002,No,No
Rhode Island,2003,No,No
Rhode Island,2004,No,No
Rhode Island,2005,No,No
Rhode Island,2006,No,No
Rhode Island,2007,No,No
Rhode Island,2008,No,No
Rhode Island,2009,No,No
Rhode Island,2010,No,No
Rhode Island,2011,No,No
Rhode Island,2012,No,No
South Carolina,1994,Yes,yes_all
South Carolina,1995,Yes,yes_all
South Carolina,1996,Yes,yes_all
South Carolina,1997,Yes,yes_all
South Carolina,1998,Yes,yes_all
South Carolina,1999,Yes,yes_all
South Carolina,2000,Yes,yes_all
South Carolina,2001,Yes,yes_all
South Carolina,2002,Yes,yes_all
South Carolina,2003,Yes,yes_all
South Carolina,2004,Yes,yes_all
South Carolina,2005,Yes,yes_all
South Carolina,2006,Yes,yes_all
South Carolina,2007,Yes,yes_all
South Carolina,2008,Yes,yes_all
South Carolina,2009,Yes,yes_all
South Carolina,2010,Yes,yes_all
South Carolina,2011,Yes,yes_all
South Carolina,2012,Yes,yes_all
South Dakota,1994,No,No
South Dakota,1995,No,No
South Dakota,1996,No,No
South Dakota,1997,No,No
South Dakota,1998,No,No
South Dakota,1999,No,No
South Dakota,2000,No,No
South Dakota,2001,Yes,yes_all
South Dakota,2002,Yes,yes_all
South Dakota,2003,Yes,yes_all
South Dakota,2004,Yes,yes_all
South Dakota,2005,Yes,yes_all
South Dakota,2006,Yes,yes_all
South Dakota,2007,Yes,yes_all
South Dakota,2008,Yes,yes_all
South Dakota,2009,Yes,yes_all
South Dakota,2010,Yes,yes_all
South Dakota,2011,Yes,yes_all
South Dakota,2012,Yes,yes_all
Tennessee,1994,Yes,yes_all
Tennessee,1995,Yes,yes_all
Tennessee,1996,Yes,yes_all
Tennessee,1997,Yes,yes_all
Tennessee,1998,Yes,yes_all
Tennessee,1999,Yes,yes_all
Tennessee,2000,Yes,yes_all
Tennessee,2001,Yes,yes_all
Tennessee,2002,Yes,yes_all
Tennessee,2003,Yes,yes_all
Tennessee,2004,Yes,yes_all
Tennessee,2005,Yes,yes_all
Tennessee,2006,Yes,yes_all
Tennessee,2007,Yes,yes_all
Tennessee,2008,Yes,yes_all
Tennessee,2009,Yes,yes_all
Tennessee,2010,Yes,yes_all
Tennessee,2011,Yes,yes_all
Tennessee,2012,Yes,yes_all
Texas,1994,No,No
Texas,1995,No,No
Texas,1996,No,No
Texas,1997,No,No
Texas,1998,No,No
Texas,1999,No,No
Texas,2000,No,No
Texas,2001,No,No
Texas,2002,No,No
Texas,2003,No,No
Texas,2004,No,No
Texas,2005,No,No
Texas,2006,No,No
Texas,2007,No,No
Texas,2008,No,No
Texas,2009,No,No
Texas,2010,No,No
Texas,2011,No,No
Texas,2012,No,No
Utah,1994,Yes,yes_all
Utah,1995,Yes,yes_all
Utah,1996,Yes,yes_all
Utah,1997,Yes,yes_all
Utah,1998,Yes,yes_all
Utah,1999,Yes,yes_all
Utah,2000,Yes,yes_all
Utah,2001,Yes,yes_all
Utah,2002,Yes,yes_all
Utah,2003,Yes,yes_all
Utah,2004,Yes,yes_all
Utah,2005,Yes,yes_all
Utah,2006,Yes,yes_all
Utah,2007,Yes,yes_all
Utah,2008,Yes,yes_all
Utah,2009,Yes,yes_all
Utah,2010,Yes,yes_all
Utah,2011,Yes,yes_all
Utah,2012,Yes,yes_all
Vermont,1994,No,No
Vermont,1995,No,No
Vermont,1996,No,No
Vermont,1997,No,No
Vermont,1998,No,No
Vermont,1999,No,No
Vermont,2000,No,No
Vermont,2001,No,No
Vermont,2002,No,No
Vermont,2003,No,No
Vermont,2004,No,No
Vermont,2005,No,No
Vermont,2006,No,No
Vermont,2007,No,No
Vermont,2008,No,No
Vermont,2009,No,No
Vermont,2010,No,No
Vermont,2011,No,No
Vermont,2012,No,No
Virginia,1994,Yes,yes_all
Virginia,1995,Yes,yes_all
Virginia,1996,Yes,yes_all
Virginia,1997,Yes,yes_all
Virginia,1998,Yes,yes_all
Virginia,1999,Yes,yes_all
